species,site,time,fit,sd,lwr,upr,q1,q2,parameter
Potamilus amphichaenus,Rockland,2,0.815074657131016,0.0616287483005755,0.670791211442932,0.911361998439022,0.772345343722624,0.848509536963092,p
Potamilus amphichaenus,Rockland,3,0.811165553108623,0.0573825405687129,0.670737910109228,0.897896219904868,0.768370693050172,0.846427328863488,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,1,0.812799448498299,0.0600548237417052,0.671774754367415,0.90158138940079,0.76981957204722,0.85024881620113,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,2,0.813122536285762,0.0618343532598996,0.665449844947694,0.907514324050124,0.772670227062168,0.849877872750926,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,3,0.817754299676315,0.0617708036599003,0.669329571098751,0.907280636044671,0.779167421984285,0.854006813368509,p
Potamilus fragilis (Leptodea fragilis),Rockland,1,0.81294353778696,0.0592729384374965,0.675460874299282,0.905882642588535,0.775789945356294,0.848993171700684,p
Potamilus fragilis (Leptodea fragilis),Rockland,2,0.813213734126839,0.0557076790877747,0.691818371323907,0.902706220344761,0.775207008650176,0.845197628907831,p
Potamilus fragilis (Leptodea fragilis),Rockland,3,0.806166710971822,0.0556622051551334,0.680846759054869,0.893743079743495,0.772637948593041,0.844803737100567,p
Potamilus purpuratus,Lower Neches,1,0.816949486153351,0.0555781342307216,0.697697676687594,0.905958743042581,0.779966873018564,0.852042258089015,p
Potamilus purpuratus,Lower Neches,2,0.817651137563062,0.055122676011479,0.703422881873185,0.90751989798483,0.779023490353236,0.852577066002754,p
Potamilus purpuratus,Lower Neches,3,0.809484746809783,0.0550081958828349,0.685623179759957,0.905601567748421,0.771305542012501,0.845353530792826,p
Potamilus purpuratus,Rockland,1,0.819934357548146,0.0578457265144162,0.673243993109191,0.900539015450241,0.778711240915681,0.849957112495453,p
Potamilus purpuratus,Rockland,2,0.80874249734727,0.0405226214099933,0.72344031678779,0.872223431875119,0.780912307990328,0.832669963992769,p
Potamilus purpuratus,Rockland,3,0.812732295984684,0.0367767891617456,0.740159983664806,0.884828627053422,0.787443688339655,0.837926355631163,p
Pyganodon grandis,Lower Neches,1,0.817489542924715,0.0570088196989758,0.69115603584974,0.906029524548425,0.777446872988074,0.849849816258667,p
Pyganodon grandis,Lower Neches,2,0.829740337284602,0.0521380953704486,0.708413403998366,0.916821880485006,0.797198624026409,0.861908161953378,p
Pyganodon grandis,Lower Neches,3,0.818398402536836,0.0556584951315751,0.691605610977786,0.907833340991579,0.782643090801693,0.852622562882538,p
Pyganodon grandis,Rockland,1,0.813725219495189,0.0590162187103674,0.660943223146475,0.9011667691886,0.773211461043221,0.846838972459591,p
Pyganodon grandis,Rockland,2,0.814396557182179,0.0564714177340044,0.683688891978339,0.904502747045526,0.777573844524025,0.84514412432804,p
Pyganodon grandis,Rockland,3,0.808695664991299,0.0591565078319913,0.675729565228318,0.90848939746626,0.769821860072068,0.84109238790962,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,1,0.813193151457563,0.0565865537984067,0.681927489279847,0.90620742851167,0.778293737669493,0.847563973457521,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,2,0.880104685405486,0.0195792566435657,0.834568459966818,0.91566762309293,0.867200197586512,0.893311478549212,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,3,0.776614938753647,0.0547190295626888,0.676318858045501,0.876707024027757,0.733132915080652,0.818751034134953,p
Quadrula quadrula (Quadrula apiculata),Rockland,1,0.815335756401129,0.0587780236523066,0.671356676709062,0.907442961390639,0.776166274657068,0.848493388368499,p
Quadrula quadrula (Quadrula apiculata),Rockland,2,0.813235568644732,0.0517938564860583,0.691130146765507,0.892913229842611,0.776663189152714,0.843201766959928,p
Quadrula quadrula (Quadrula apiculata),Rockland,3,0.817278367665952,0.052473502246938,0.69440239718242,0.897801942295506,0.778407252414855,0.84628488999294,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,1,0.815063742265655,0.053595634191992,0.687419822031324,0.899222344220132,0.785005636289854,0.847698592414883,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,2,0.855618799352971,0.035228757935777,0.780336126755781,0.916870726474583,0.829700424376746,0.876359588606871,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,3,0.772812755009355,0.0636687452519868,0.648212919991399,0.887552826617785,0.72497642538023,0.81621983313037,p
Tritogonia nobilis (Quadrula nobilis),Rockland,1,0.814225085306462,0.0618477450027988,0.659426282995222,0.906468043997148,0.775713203051319,0.850549202642435,p
Tritogonia nobilis (Quadrula nobilis),Rockland,2,0.824486548569511,0.0472462642389654,0.70842065731695,0.90049830976432,0.793117809209642,0.852853957164467,p
Tritogonia nobilis (Quadrula nobilis),Rockland,3,0.781483551929229,0.0654500725446841,0.622176489089616,0.879176979199205,0.736243398475634,0.819882984258413,p
Tritogonia verrucosa,Lower Neches,1,0.81237667256921,0.0582593139707109,0.683597020889608,0.90962951934178,0.774837367322347,0.849337738748834,p
Tritogonia verrucosa,Lower Neches,2,0.814454853414891,0.0578913177171094,0.685842572197803,0.90799702453169,0.775010449441733,0.848827651703639,p
Tritogonia verrucosa,Lower Neches,3,0.81738752578985,0.0571881056028843,0.673051416099544,0.914937252592791,0.777146162092138,0.846576596180965,p
Tritogonia verrucosa,Rockland,1,0.814240977074939,0.0585852372966247,0.682139726529357,0.907624815115274,0.775264216707738,0.848933166081326,p
Tritogonia verrucosa,Rockland,2,0.816328657556272,0.0578905434180278,0.683821873471944,0.908835920849694,0.777562055283011,0.851377117925351,p
Tritogonia verrucosa,Rockland,3,0.812099337069665,0.0608872016602422,0.661256895182695,0.905110605622907,0.770269901923886,0.849009022522057,p
Truncilla donaciformis,Lower Neches,1,0.812015479631429,0.0610017018080311,0.68161687772639,0.902289825353257,0.773158929507103,0.854436894389597,p
Truncilla donaciformis,Lower Neches,2,0.813037381843535,0.0602280668107119,0.674089190728233,0.909599159596603,0.771488283325325,0.848754872018012,p
Truncilla donaciformis,Lower Neches,3,0.816161683721409,0.0551839684929136,0.694741673430357,0.895094115193058,0.774393984272473,0.850650251889448,p
Truncilla donaciformis,Rockland,1,0.813775646835224,0.0569251628767481,0.670320899860631,0.903429451909636,0.775482132189646,0.84665852707685,p
Truncilla donaciformis,Rockland,2,0.812029227077823,0.0603088771748669,0.659818048142578,0.905999968915957,0.77228609172359,0.849236888081663,p
Truncilla donaciformis,Rockland,3,0.816663023695209,0.0538329881919967,0.686182794634793,0.896897186399693,0.777528402050318,0.849256573811061,p
